Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length
Q05AQ7,Q05AQ7_XENTR,unreviewed,LOC779593 protein (Fragment),LOC779593,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),954
F7DS59,F7DS59_XENTR,unreviewed,Cellular repressor of E1A-stimulated genes 1,creg1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),191
F7A7C4,F7A7C4_XENTR,unreviewed,Follistatin-like 4,rictor fstl4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),834
B5BNX6,B5BNX6_XENTR,unreviewed,Gdf5,gdf5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),496
A0A803JQ85,A0A803JQ85_XENTR,unreviewed,"SPARC (osteonectin), cwcv and kazal-like domains proteoglycan 2",spock2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),422
A0A803JSW8,A0A803JSW8_XENTR,unreviewed,Phospholipase A1 member A,pla1a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),468
A0A6I8Q8C0,A0A6I8Q8C0_XENTR,unreviewed,Neuregulin 1,nrg1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),651
A0A6I8S1W6,A0A6I8S1W6_XENTR,unreviewed,"Complement C6, gene 2",c6.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),935
A0A803JRW2,A0A803JRW2_XENTR,unreviewed,"Collagen, type IV, alpha 6",col4a6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1709
A0A803JYJ2,A0A803JYJ2_XENTR,unreviewed,Pleiotrophin,ptn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),165
B7ZTY4,B7ZTY4_XENTR,unreviewed,Nodal related 1,nodal1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),403
A0A803J404,A0A803J404_XENTR,unreviewed,Neuromedin U,nmu,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),184
F6RHF9,F6RHF9_XENTR,unreviewed,Calumenin,calu,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),314
B0JZC5,B0JZC5_XENTR,unreviewed,LOC779593 protein (Fragment),LOC779593,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),973
A0A6I8SC80,A0A6I8SC80_XENTR,unreviewed,Latent-transforming growth factor beta-binding protein 1,ltbp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1554
A0A803K3R1,A0A803K3R1_XENTR,unreviewed,Protein Wnt,wnt9a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),402
A0A803J2H6,A0A803J2H6_XENTR,unreviewed,Gc-globulin (Group-specific component) (Vitamin D-binding protein),LOC101732943,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),296
F6TF09,F6TF09_XENTR,unreviewed,"Collagen, type IV, alpha 2",col4a2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1722
A0A803JDQ2,A0A803JDQ2_XENTR,unreviewed,Transthyretin,ttr,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),147
A0A803JL86,A0A803JL86_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2766
Q0V9L8,Q0V9L8_XENTR,unreviewed,LOC779471 protein (Fragment),LOC779471,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),666
A0A6I8Q6Z3,A0A6I8Q6Z3_XENTR,unreviewed,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3",spock3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),440
A0A6I8SQF8,A0A6I8SQF8_XENTR,unreviewed,"Collagen, type XII, alpha 1",col12a1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3121
A0A6I8PZT8,A0A6I8PZT8_XENTR,unreviewed,Matrix metalloproteinase-18,mmp8,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),455
Q28IR4,Q28IR4_XENTR,unreviewed,Complement component 6 (Fragment),c6 TNeu101e21.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),621
A0A1B8YAC8,A0A1B8YAC8_XENTR,unreviewed,Olfactomedin-like domain-containing protein (Fragment),XENTR_v900268921mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),435
Q5CZL2,Q5CZL2_XENTR,unreviewed,Pentaxin (Pentraxin),MGC108147,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),245
Q5BIY8,Q5BIY8_XENTR,unreviewed,Mug1 protein (Fragment),mug1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1449
A0A803K4P8,A0A803K4P8_XENTR,unreviewed,Endothelin-2 (Preproendothelin-2),edn2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),158
B2BHG0,B2BHG0_XENTR,unreviewed,Interleukin-15 variant 2,il15 IL-15,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),145
A0A6I8SDF5,A0A6I8SDF5_XENTR,unreviewed,Protein Wnt,wnt3a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),339
F7ATR0,F7ATR0_XENTR,unreviewed,"Collagen, type V, alpha 3",acod1 col5a3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1733
A0A6I8Q003,A0A6I8Q003_XENTR,unreviewed,Neurocan,ncan,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1604
A4GWY9,A4GWY9_XENTR,unreviewed,Protein Wnt (Fragment),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),239
A0A6I8PYJ3,A0A6I8PYJ3_XENTR,unreviewed,Bone sialoprotein 2 (Bone sialoprotein II) (Cell-binding sialoprotein) (Integrin-binding sialoprotein),ibsp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),247
B2GUP2,B2GUP2_XENTR,unreviewed,Adamts1 protein,adamts1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),927
A0A803KBY6,A0A803KBY6_XENTR,unreviewed,Chordin like 2,chrdl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),438
A0A6I8R0M5,A0A6I8R0M5_XENTR,unreviewed,Thrombospondin type 1 domain containing 4,thsd4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),954
A0A6I8Q4Y9,A0A6I8Q4Y9_XENTR,unreviewed,Fibrillin 1,fbn1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2824
F6W2E6,F6W2E6_XENTR,unreviewed,Glycoprotein hormones alpha chain,cga,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),122
Q3L0X3,Q3L0X3_XENTR,unreviewed,Crossveinless-2,bmper CV-2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),687
A0A6I8SM22,A0A6I8SM22_XENTR,unreviewed,Laminin subunit alpha 2,lama2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2831
A0A803KIM3,A0A803KIM3_XENTR,unreviewed,Platelet-derived growth factor receptor-like protein,pdgfrl,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),373
A0A6I8RQD7,A0A6I8RQD7_XENTR,unreviewed,Inter-alpha-trypsin inhibitor heavy chain 2,itih2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),925
A0A803K023,A0A803K023_XENTR,unreviewed,Beta-microseminoprotein,LOC101733634,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),112
A0A803JN01,A0A803JN01_XENTR,unreviewed,Endothelin-3,edn3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),184
F6TIA6,F6TIA6_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 7,adamts7,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1733
A0A6I8QN31,A0A6I8QN31_XENTR,unreviewed,"Nodal homolog 5, gene 2",nodal5.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),386
A0A803JTV7,A0A803JTV7_XENTR,unreviewed,Chromosome 4 open reading frame 48,c4orf48,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),142
F6XFQ8,F6XFQ8_XENTR,unreviewed,Activin beta-A chain (Inhibin beta A chain),inhba,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),411
F6VMS2,F6VMS2_XENTR,unreviewed,Carboxylic ester hydrolase (EC 3.1.1.-),bche,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),612
A0A803J4C4,A0A803J4C4_XENTR,unreviewed,Mucin-5AC,LOC100495470,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),5334
F6Z619,F6Z619_XENTR,unreviewed,Complement C3,LOC100491968,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1656
A0A6I8T297,A0A6I8T297_XENTR,unreviewed,Semaphorin 3F like,sema3fl,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),750
A0A803KIB6,A0A803KIB6_XENTR,unreviewed,Carboxypeptidase A1,cpa1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),420
A0A6I8QK69,A0A6I8QK69_XENTR,unreviewed,Pregnancy-zone protein,pzp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1475
A0A6I8SN00,A0A6I8SN00_XENTR,unreviewed,Interphotoreceptor matrix proteoglycan 2,impg2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1870
A0A6I8T2I0,A0A6I8T2I0_XENTR,unreviewed,Hemagglutinin/amebocyte aggregation factor,LOC100486393,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),186
A0A803K0P1,A0A803K0P1_XENTR,unreviewed,Chromogranin A,chga,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),398
A0A6I8RZ64,A0A6I8RZ64_XENTR,unreviewed,"Complement C6, gene 2",c6.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),956
A0A6I8Q478,A0A6I8Q478_XENTR,unreviewed,Laminin subunit alpha 2,lama2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2832
F6PJK4,F6PJK4_XENTR,unreviewed,Laminin subunit alpha 5,lama5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1649
B2BHH1,B2BHH1_XENTR,unreviewed,Interleukin,il15 IL-15,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),159
A0A803K806,A0A803K806_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),255
F6UV50,F6UV50_XENTR,unreviewed,Follistati like 5,fstl5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),851
A0A803KAD9,A0A803KAD9_XENTR,unreviewed,Protein Wnt,wnt2b,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),342
A0A7D9NLJ2,A0A7D9NLJ2_XENTR,unreviewed,Natriuretic peptide B,nppb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),137
A0A6I8QJX7,A0A6I8QJX7_XENTR,unreviewed,von Willebrand factor C and EGF domains,vwce,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1333
A0A6I8R8C9,A0A6I8R8C9_XENTR,unreviewed,Relaxin family locus C type II,rflcii,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),155
Q6DJC4,Q6DJC4_XENTR,unreviewed,Apoe protein (Fragment),apoe,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),279
A0A6I8Q0H0,A0A6I8Q0H0_XENTR,unreviewed,Cathepsin K (EC 3.4.22.38),ctsk,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),342
A0A803JLT5,A0A803JLT5_XENTR,unreviewed,Chromogranin A,chga,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),410
A0A6I8PU47,A0A6I8PU47_XENTR,unreviewed,Prosaposin,psap,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),525
A0A1B8Y552,A0A1B8Y552_XENTR,unreviewed,Uncharacterized protein,XENTR_v90026147mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1409
A0A6I8PTZ5,A0A6I8PTZ5_XENTR,unreviewed,"Surfactant, pulmonary-associated protein B",sftpb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),365
A0A1B1FFR9,A0A1B1FFR9_XENTR,unreviewed,Type III interferon 1,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),209
A0A1B8XY73,A0A1B8XY73_XENTR,unreviewed,Erythropoietin (Fragment),XENTR_v900297042mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),135
A0A7D9NK08,A0A7D9NK08_XENTR,unreviewed,Cellular communication network factor 1,ccn1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),375
A0A803JVK0,A0A803JVK0_XENTR,unreviewed,Endothelin 1,edn1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),248
A0A803J5H5,A0A803J5H5_XENTR,unreviewed,Tachykinin-like peptide,LOC116411693,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),129
B1WBH2,B1WBH2_XENTR,unreviewed,Bactericidal permeability-increasing protein (Fragment),LOC100145779,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),474
A0A803JAR1,A0A803JAR1_XENTR,unreviewed,C1q and TNF related 2,c1qtnf2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),302
F6RH77,F6RH77_XENTR,unreviewed,Hemicentin 1,hmcn1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),5519
F6W3V8,F6W3V8_XENTR,unreviewed,Peroxidase (EC 1.11.1.7),pxdn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1465
A0A803JZ27,A0A803JZ27_XENTR,unreviewed,C1q and TNF related 2,c1qtnf2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),311
F7CAD6,F7CAD6_XENTR,unreviewed,Tectorin beta,tectb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),318
A0A803JI72,A0A803JI72_XENTR,unreviewed,C-C motif chemokine,ccl5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),94
A0A803JFW4,A0A803JFW4_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),202
A0A803JE17,A0A803JE17_XENTR,unreviewed,Bactericidal permeability-increasing protein,bpi.4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),475
A0A1B8Y2V8,A0A1B8Y2V8_XENTR,unreviewed,Lipase domain-containing protein (Fragment),XENTR_v900273282mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),234
A0A803KC12,A0A803KC12_XENTR,unreviewed,Meteorin-like protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),220
A0A803K5C9,A0A803K5C9_XENTR,unreviewed,Meteorin-like protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),219
A0A803K137,A0A803K137_XENTR,unreviewed,Glycoprotein hormones alpha chain,cga,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),215
A9JTV2,A9JTV2_XENTR,unreviewed,Angiotensinogen (Serpin A8) (Fragment),agt,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),474
A0A803JYM7,A0A803JYM7_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3153
A0A6I8PUA3,A0A6I8PUA3_XENTR,unreviewed,Pleiotrophin,ptn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),238
A0A077DCB8,A0A077DCB8_XENTR,unreviewed,Spexin 2b (Fragment),SPX2b,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),71
A0A6I8QQS7,A0A6I8QQS7_XENTR,unreviewed,Neurexophilin,nxph1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),286
A0A6I8QEG4,A0A6I8QEG4_XENTR,unreviewed,Protein Wnt,wnt8b,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),358
A0A1B8Y261,A0A1B8Y261_XENTR,unreviewed,Uncharacterized protein (Fragment),XENTR_v900275911mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),900
F7AHZ4,F7AHZ4_XENTR,unreviewed,"Collagen, type XII, alpha 1",col12a1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3073
A0A1B8Y6F0,A0A1B8Y6F0_XENTR,unreviewed,Protein Wnt (Fragment),XENTR_v900307951mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),152
A0A6I8SA74,A0A6I8SA74_XENTR,unreviewed,ALK and LTK ligand 1,alkal1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),168
A0A1B8Y8M0,A0A1B8Y8M0_XENTR,unreviewed,Gc-globulin (Group-specific component) (Vitamin D-binding protein) (Fragment),XENTR_v900292501mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),127
F7DI46,F7DI46_XENTR,unreviewed,Alpha-2-macroglobulin-like 1 pseudogene,ovos2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1443
A0A803JNX1,A0A803JNX1_XENTR,unreviewed,Pentaxin (Pentraxin),apcs.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),233
A0A6I8S2R5,A0A6I8S2R5_XENTR,unreviewed,Collagen type VI alpha 3 chain,col6a3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3348
A0A6I8R0P5,A0A6I8R0P5_XENTR,unreviewed,von Willebrand factor C domain containing 2,vwc2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),325
A0A6I8SFK3,A0A6I8SFK3_XENTR,unreviewed,C-C motif chemokine,LOC101733520,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),120
F7AJZ7,F7AJZ7_XENTR,unreviewed,ZnMc domain-containing protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),618
A0A6I8QHS4,A0A6I8QHS4_XENTR,unreviewed,Bactericidal permeability-increasing protein,bpi.4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),478
A0A803KEF7,A0A803KEF7_XENTR,unreviewed,Leptin (Obesity factor),lep,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),169
A0A6I8QBQ3,A0A6I8QBQ3_XENTR,unreviewed,Fibrillin 3,fbn3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2825
A0A803KEQ6,A0A803KEQ6_XENTR,unreviewed,von Willebrand factor C and EGF domains,vwce,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),678
F6Y6E2,F6Y6E2_XENTR,unreviewed,Tenascin N,tnn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1109
A0A6I8Q1B5,A0A6I8Q1B5_XENTR,unreviewed,BMP binding endothelial regulator,bmper,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),646
A0A803KHE8,A0A803KHE8_XENTR,unreviewed,MGC108277 protein,dpt MGC108277,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),197
A0A1B8XWU5,A0A1B8XWU5_XENTR,unreviewed,PA2c domain-containing protein,XENTR_v90030468mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),70
F6TS12,F6TS12_XENTR,unreviewed,FAM3 metabolism regulating signaling molecule D,fam3d,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),227
A0A6I8R398,A0A6I8R398_XENTR,unreviewed,Prosaposin,psap,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),482
Q566M0,Q566M0_XENTR,unreviewed,A2m protein (Fragment),a2m,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1462
A0A6I8Q6W9,A0A6I8Q6W9_XENTR,unreviewed,Fibrillin 2 (congenital contractural arachnodactyly),fbn2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2820
D2DJP6,D2DJP6_XENTR,unreviewed,Interferon lambda2,IFNL2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),179
A0A1B8Y567,A0A1B8Y567_XENTR,unreviewed,Uncharacterized protein (Fragment),XENTR_v900261671mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),822
A0A1B8Y3V0,A0A1B8Y3V0_XENTR,unreviewed,Uncharacterized protein,XENTR_v90026954mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),523
F6XWK8,F6XWK8_XENTR,unreviewed,Cathepsin K (EC 3.4.22.38),ctsk,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),344
A0A6I8QJC9,A0A6I8QJC9_XENTR,unreviewed,Pleiotrophin,ptn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),190
A0A1B8Y5R1,A0A1B8Y5R1_XENTR,unreviewed,Uncharacterized protein,XENTR_v90025854mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1184
A0A6I8RZE2,A0A6I8RZE2_XENTR,unreviewed,Leucine-rich repeat LGI family member 2,lgi2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),513
F7D2U4,F7D2U4_XENTR,unreviewed,"Collagen, type VIII, alpha 2",col8a2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),689
F6VGU7,F6VGU7_XENTR,unreviewed,Complement C3,LOC101734099,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1647
A0A803JWR2,A0A803JWR2_XENTR,unreviewed,Interleukin-18,LOC100496716,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),188
A0A6I8RIS5,A0A6I8RIS5_XENTR,unreviewed,Nidogen 2,nid2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1444
Q505I1,Q505I1_XENTR,unreviewed,Fibrinogen beta chain (Fragment),fgb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),486
A0A6I8PXA6,A0A6I8PXA6_XENTR,unreviewed,TNF superfamily member 10,tnfsf10,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),281
A0A803K929,A0A803K929_XENTR,unreviewed,Protein Wnt,wnt5a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),380
A0A803KGA7,A0A803KGA7_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),280
A0A803K9T2,A0A803K9T2_XENTR,unreviewed,Complement C5,c5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1029
F6TFJ8,F6TFJ8_XENTR,unreviewed,"Prolactin, gene 2",prl.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),209
A0A803JP84,A0A803JP84_XENTR,unreviewed,Complement C5,c5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1140
F6TVV1,F6TVV1_XENTR,unreviewed,Matrix metallopeptidase 19,mmp19,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),476
A0A803JAG0,A0A803JAG0_XENTR,unreviewed,Lipocln_cytosolic_FA-bd_dom domain-containing protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),177
A0A6I8Q3X5,A0A6I8Q3X5_XENTR,unreviewed,Matrix metalloproteinase-18,mmp8,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),455
A0A803KFC1,A0A803KFC1_XENTR,unreviewed,"Nodal homolog 5, gene 2",nodal5.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),386
A0A7D9NMD1,A0A7D9NMD1_XENTR,unreviewed,Proenkephalin,tmem26 penk,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),265
Q5BKJ9,Q5BKJ9_XENTR,unreviewed,Folate gamma-glutamyl hydrolase (EC 3.4.19.9),ggh,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),315
F6TT69,F6TT69_XENTR,unreviewed,"Complement component 1, q subcomponent-like 1",c1ql1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),248
A0A803J3Z1,A0A803J3Z1_XENTR,unreviewed,Galectin,LOC116406955,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),142
A0A803KCC2,A0A803KCC2_XENTR,unreviewed,Complement C2,c2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),759
A0A6I8SI48,A0A6I8SI48_XENTR,unreviewed,"Collagen, type IV, alpha 5",col4a5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1688
A0A803JY11,A0A803JY11_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1429
A0A6I8S6E7,A0A6I8S6E7_XENTR,unreviewed,Complement C3,LOC100491968,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1656
A0A6I8RXV3,A0A6I8RXV3_XENTR,unreviewed,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2",spock2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),408
A0A1B8Y2K1,A0A1B8Y2K1_XENTR,unreviewed,Uncharacterized protein,XENTR_v90027473mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1165
A0A1B8Y3Z1,A0A1B8Y3Z1_XENTR,unreviewed,Uncharacterized protein,XENTR_v90026950mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),539
A0A6I8PWB0,A0A6I8PWB0_XENTR,unreviewed,Otoconin 90,oc90,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),556
A0A803JTB4,A0A803JTB4_XENTR,unreviewed,Pentaxin (Pentraxin),crp.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),216
A0A6I8SHA9,A0A6I8SHA9_XENTR,unreviewed,Multiple EGF-like-domains 6,megf6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1578
A0A803JUS8,A0A803JUS8_XENTR,unreviewed,Interphotoreceptor matrix proteoglycan 1,impg1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1047
A0A6I8Q838,A0A6I8Q838_XENTR,unreviewed,Multiple EGF-like-domains 6,megf6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1613
A0A803KG73,A0A803KG73_XENTR,unreviewed,Matrix metallopeptidase 13,mmp13,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),259
A0A803JKB4,A0A803JKB4_XENTR,unreviewed,Endothelin-3,edn3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),184
A0A803KIU6,A0A803KIU6_XENTR,unreviewed,Uncharacterized protein,XENTR_v90026955mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),531
A0A6I8QRM7,A0A6I8QRM7_XENTR,unreviewed,Galectin,lgals3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),257
A0A6I8RMP3,A0A6I8RMP3_XENTR,unreviewed,"Inhibin, beta C, gene 2",inhbc.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),354
A0A6I8R5G5,A0A6I8R5G5_XENTR,unreviewed,Inter-alpha-trypsin inhibitor heavy chain family member 6,itih6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1140
A0A6I8SGH2,A0A6I8SGH2_XENTR,unreviewed,Resistin-like beta,LOC116408250,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),112
F6SPR7,F6SPR7_XENTR,unreviewed,Fibrinogen gamma chain,fam171a2 fgg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),438
A0A803JHM2,A0A803JHM2_XENTR,unreviewed,NTR domain-containing protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1537
L7N2N7,L7N2N7_XENTR,unreviewed,Interphotoreceptor matrix proteoglycan 1,impg1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1040
A0A6I8S4M7,A0A6I8S4M7_XENTR,unreviewed,Secretogranin III (Secretogranin-3),scg3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),461
A0A6I8S7X6,A0A6I8S7X6_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),187
